Nom de la société;Symbole;1 semaine;2 mois;6 mois;1 an;3 ans;5 ans
Backstageplay Inc.;BP;-0.48%;-9.05%;1.06%;0.91%;31.37%;-16.63%
Elysee Development Corp.;ELC;0.00%;3.45%;-11.76%;-33.33%;-57.14%;-16.67%
Kootenay Silver Inc.;KTN;-0.26%;1.01%;-2.27%;-0.37%;-16.99%;-16.96%
Fountain Asset Corp.;FA;-3.80%;4.52%;0.87%;14.00%;-17.77%;-17.77%
Western Exploration Inc.;WEX;-4.47%;-26.55%;-10.80%;-3.26%;-15.55%;-17.89%
Odd Burger Corporation;ODD;-7.90%;19.11%;-16.88%;-18.03%;-18.03%;-18.03%
Vatic Ventures Corp;VCV;0.97%;7.80%;5.93%;7.80%;-24.49%;-19.31%
High Tide Inc.;HITI;-4.18%;17.21%;64.71%;101.60%;-66.31%;-20.00%
CardioComm Solutions, Inc.;EKG;-1.70%;2.23%;3.37%;-11.88%;-20.03%;-20.03%
Prosper Gold Corp.;PGX;0.35%;2.29%;1.31%;3.93%;-23.59%;-20.99%
Environmental Waste International Inc.;EWS;-0.10%;3.45%;9.41%;2.29%;-17.54%;-21.62%
Pegasus Resources Inc.;PEGA;-4.10%;-2.29%;15.70%;11.85%;-58.69%;-22.51%
Plato Gold Corp.;PGC;-1.01%;-12.37%;-25.53%;-25.53%;-33.05%;-22.57%
American Eagle Gold Corp.;AE;-8.87%;-15.68%;-8.90%;-30.07%;-12.74%;-23.11%
Vizsla Silver Corp.;VZLA;2.94%;30.60%;48.31%;47.06%;-23.31%;-23.31%
Portofino Resources Inc.;POR;-0.80%;-2.01%;-1.51%;-11.03%;-11.94%;-23.64%
Northstar Clean Technologies Inc.;ROOF;-0.26%;3.58%;-4.07%;0.16%;-27.82%;-24.74%
Klondike Silver Corp.;KS;0.00%;-25.00%;-25.00%;0.00%;-53.85%;-25.00%
Lion Copper and Gold Corp.;LEO;0.66%;4.62%;3.74%;1.33%;-30.88%;-25.12%
Atomic Minerals Corporation;ATOM;-1.28%;-29.49%;-46.00%;-56.30%;-85.00%;-25.24%
Gungnir Resources Inc.;GUG;-1.06%;3.69%;6.13%;5.23%;-25.50%;-25.50%
Ridgestone Mining Inc.;RMI;-2.39%;3.52%;3.79%;1.40%;-31.52%;-25.56%
Q2 Metals Corp.;QTWO;-4.03%;11.83%;36.10%;96.44%;-45.13%;-25.62%
Cannara Biotech Inc.;LOVE;-10.43%;6.16%;-10.71%;-8.02%;-68.68%;-25.77%
GT Resources Inc.;GT;-6.18%;-5.47%;-22.21%;-16.49%;-34.99%;-25.96%
Mineral Hill Industries Ltd.;MHI;-0.11%;5.49%;6.49%;6.11%;-29.51%;-26.47%
BCM Resources Corporation;B;2.97%;10.32%;29.03%;-2.99%;-24.16%;-26.66%
Brunswick Exploration Inc.;BRW;-2.24%;-2.24%;-9.13%;-10.53%;-25.69%;-26.79%
NexgenRx Inc.;NXG;-0.66%;4.46%;18.89%;6.59%;-17.50%;-27.02%
Volt Lithium Corp.;VLT;-1.40%;1.83%;2.23%;1.64%;-27.89%;-27.09%
Comet Industries Ltd.;CMU;1.48%;5.86%;4.26%;7.86%;-27.18%;-27.94%
Theralase Technologies Inc.;TLT;2.24%;6.28%;-4.99%;-8.44%;-33.99%;-28.03%
Alpha Exploration Ltd.;ALEX;-0.91%;1.67%;-12.72%;-11.88%;-13.96%;-28.16%
PetroFrontier Corp;PFC;-0.83%;-4.47%;-18.34%;17.04%;-31.95%;-28.43%
Nickelex Resource Corporation;NICK;0.30%;3.29%;1.54%;31.21%;-42.31%;-28.49%
Eros Resources Corp.;ERC;-1.65%;0.79%;-4.07%;-0.99%;-30.49%;-28.83%
Arianne Phosphate Inc.;DAN;-6.48%;1.87%;-12.54%;-24.21%;-46.39%;-30.08%
Minco Capital Corp.;MMM;-0.43%;8.80%;16.25%;17.81%;-38.26%;-30.48%
Precipitate Gold Corp.;PRG;-1.41%;10.35%;15.55%;8.04%;-26.94%;-31.54%
Strategic Resources Inc.;SR;-0.41%;-4.84%;-6.84%;-7.29%;-21.78%;-31.68%
Forum Energy Metals Corp.;FMC;-3.11%;-4.65%;-7.01%;-47.25%;-51.34%;-32.76%
Pelangio Exploration Inc.;PX;0.25%;7.29%;-20.92%;-29.96%;-33.03%;-33.03%
Lithium ION Energy Ltd.;ION;-4.32%;-6.30%;-8.05%;-27.29%;-33.19%;-33.19%
Churchill Resources Inc.;CRI;-2.43%;-11.98%;-15.72%;-9.72%;-38.48%;-33.92%
TomaGold Corporation;LOT;-1.52%;10.54%;-39.65%;-37.71%;-34.01%;-34.01%
Good Gamer Entertainment Inc.;GOOD;-0.07%;6.51%;8.14%;13.82%;-37.97%;-34.45%
Fairchild Gold Corp.;FAIR;-1.79%;-5.60%;2.34%;11.05%;-17.67%;-35.21%
SATO Technologies Corp.;SATO;2.58%;24.66%;23.44%;102.19%;-35.72%;-35.72%
Consolidated Lithium Metals Inc.;CLM;-1.05%;4.44%;5.03%;-7.84%;-33.69%;-35.73%
San Lorenzo Gold Corp.;SLG;3.26%;13.00%;24.77%;121.37%;-30.44%;-36.06%
Midnight Sun Mining Corp;MMA;-9.49%;-11.30%;-36.12%;-36.12%;-36.12%;-36.12%
